config,frequency_group,num_splits,num_emerging_labels_mean,clip_knn_ap_mean,heldout_ap_mean,ap_delta,clip_knn_f1_mean,heldout_f1_mean,f1_delta,clip_knn_tecr_mean,heldout_tecr_mean,tecr_reduction_pct
nuswide_heldout_ultrastrict_s20260522,tail,5.0,5.6,0.6152995087178147,0.5873862717552134,-0.027913236962601284,0.6076236231190191,0.5930280215280248,-0.014595601590994267,0.007878293730910596,0.009296733447222653,-18.004402536386642
nuswide_heldout_ultrastrict_s20260523,head,5.0,4.8,0.7358041774926607,0.7341134259116839,-0.001690751580976757,0.7007835932079267,0.696547933787657,-0.004235659420269711,0.16671493090531228,0.13627113504592078,18.26098939913331
nuswide_heldout_ultrastrict_s20260523,mid,5.0,5.4,0.5088574041738585,0.5083787991147185,-0.0004786050591399915,0.5330736002804978,0.526944173473303,-0.006129426807194749,0.01777079813869211,0.012365145944928697,30.418736128647833
nuswide_heldout_ultrastrict_s20260523,tail,5.0,4.8,0.5207171254496743,0.5173743486346979,-0.0033427768149764114,0.5140941801177095,0.512836461365873,-0.0012577187518364452,0.002515723270440252,0.002515723270440252,0.0
nuswide_heldout_ultrastrict_s20260524,head,5.0,4.6,0.8381247647375292,0.8367404812654697,-0.0013842834720594333,0.7600162212633894,0.7565097502548348,-0.0035064710085546125,0.1477894380608085,0.12418634734781275,15.970756112682533
nuswide_heldout_ultrastrict_s20260524,mid,5.0,5.6,0.6091055399230048,0.6071424548749944,-0.001963085048010349,0.5867835893877238,0.5963045349117435,0.00952094552401972,0.008992662024715721,0.011131699457870802,-23.78647643240769
nuswide_heldout_ultrastrict_s20260524,tail,5.0,4.8,0.481663710312443,0.4744668263840673,-0.007196883928375697,0.5083772796571857,0.48665297703177723,-0.021724302625408476,0.00402046783625731,0.0013157894736842105,67.27272727272728
nuswide_heldout_ultrastrict_s20260525,head,5.0,6.2,0.8031669787317386,0.8033524656612714,0.00018548692953279655,0.7596368822662443,0.7569015510623978,-0.0027353312038465027,0.2162930101437237,0.1949830278709687,9.852367516913668
nuswide_heldout_ultrastrict_s20260525,mid,5.0,4.4,0.5004924515330527,0.4978709310570023,-0.002621520476050354,0.501878299130419,0.5097742266339457,0.007895927503526634,0.010417111191567085,0.01482887589744944,-42.35113386764835
nuswide_heldout_ultrastrict_s20260525,tail,5.0,4.4,0.5617033312864583,0.5391089194016055,-0.022594411884852783,0.5925012494226609,0.5461308939997463,-0.046370355422914566,0.012673611111111111,0.006193783068783069,51.128506196999346
nuswide_heldout_ultrastrict_s20260526,head,5.0,4.8,0.7613605924265425,0.7591573009254955,-0.0022032915010470333,0.7052860808488761,0.7026365908777634,-0.002649489971112695,0.2830017745260604,0.21467734596732885,24.14275623294364
nuswide_heldout_ultrastrict_s20260526,mid,5.0,5.0,0.4871017109406692,0.4874077233687866,0.00030601242811745255,0.5130461484645567,0.5054830552312168,-0.007563093233339813,0.015216193042626164,0.015480769230769232,-1.738780438720069
nuswide_heldout_ultrastrict_s20260526,tail,5.0,5.2,0.49193677837510175,0.48445698340070303,-0.0074797949743987124,0.5456683709636065,0.5107404193759721,-0.0349279515876344,0.01186094950800833,0.005295031765620001,55.357437766302965
