config,method,average_precision_mean,auroc_mean,best_f1_mean,tecr_mean
nuswide_heldout_ultrastrict_s20260522,asl_gate_class_thresholds,0.8072393613529657,0.8683651756198969,0.7476473348478159,0.21950068278930446
nuswide_heldout_ultrastrict_s20260522,asl_gate_global_threshold,0.8072393613529657,0.8683651756198969,0.7554929567632616,0.19571876422477716
nuswide_heldout_ultrastrict_s20260523,asl_global_threshold,0.7689086558199538,0.8807796052311538,0.7279654028872401,0.20547095824485817
nuswide_heldout_ultrastrict_s20260523,asl_class_thresholds,0.7689086558199538,0.8807796052311538,0.7255726723605751,0.20837880895595298
nuswide_heldout_ultrastrict_s20260523,asl_gate_class_thresholds,0.7684504615131529,0.8798295961135129,0.7194205305948209,0.18169231030914093
nuswide_heldout_ultrastrict_s20260523,asl_gate_global_threshold,0.7684504615131529,0.8798295961135129,0.7284871403826098,0.19748500976710642
nuswide_heldout_ultrastrict_s20260524,asl_global_threshold,0.8548088824889539,0.8936416346413658,0.782092995131313,0.21241721070345432
nuswide_heldout_ultrastrict_s20260524,asl_class_thresholds,0.8548088824889539,0.8936416346413658,0.7872587650183969,0.15541267954422192
nuswide_heldout_ultrastrict_s20260524,asl_gate_class_thresholds,0.8544902166695472,0.892487627998751,0.7854819258598031,0.14383098245997739
nuswide_heldout_ultrastrict_s20260524,asl_gate_global_threshold,0.8544902166695472,0.892487627998751,0.7815874333312528,0.21409788297236193
nuswide_heldout_ultrastrict_s20260525,asl_global_threshold,0.8337520719219566,0.8945587207549975,0.7832483122976066,0.3162414328133511
nuswide_heldout_ultrastrict_s20260525,asl_class_thresholds,0.8337520719219566,0.8945587207549975,0.7861296758580529,0.22550116940715426
nuswide_heldout_ultrastrict_s20260525,asl_gate_class_thresholds,0.8341744717322523,0.8935480888517725,0.7849123413906162,0.17385187047039818
nuswide_heldout_ultrastrict_s20260525,asl_gate_global_threshold,0.8341744717322523,0.8935480888517725,0.7825154330442758,0.21257112315943485
nuswide_heldout_ultrastrict_s20260526,asl_global_threshold,0.7953854219728944,0.8756758974140769,0.7413590701079065,0.3045306900184058
nuswide_heldout_ultrastrict_s20260526,asl_class_thresholds,0.7953854219728944,0.8756758974140769,0.7437535269797979,0.23809209875968537
nuswide_heldout_ultrastrict_s20260526,asl_gate_class_thresholds,0.7949858648987258,0.8741503900880341,0.7438061788223936,0.23117830058375127
nuswide_heldout_ultrastrict_s20260526,asl_gate_global_threshold,0.7949858648987258,0.8741503900880341,0.7417323445542234,0.2984700839577998
